q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
11	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Not too fair	Some	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
12	Satisfied	Approve	Only now and then	Basically content	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #2	Favor	Never fair game	Some	Only a little	A lot	Moderately fair	Not at all	Some	Not too much	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A little
13	(VOL) Don't know/Refused	Disapprove	Some of the time	Basically content	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Never fair game	Only a little	Some	Some	Not too fair	Some	A lot	Not at all	A lot	(VOL) Don't know/Refused	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A little
14	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not too fair	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A lot
15	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Never	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Only a little	Not fair at all	Not too much	A lot	A lot	Not at all	Some	Increasing influence	Neutral toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
16	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	Some	Some	Not too fair	Some	Some	A lot	Not too much	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
17	Dissatisfied	(VOL) Don't know/Refused	Most of the time	Angry	(VOL) Never	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	(VOL) Neither/Both equally	(VOL) Don't know/Refused	Never fair game	A lot	A lot	A lot	Not too fair	A lot	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
18	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Favor	Never fair game	Some	Some	Some	Moderately fair	A lot	Some	Some	Some	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
19	Dissatisfied	(VOL) Don't know/Refused	Only now and then	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Strongly favor	Never fair game	None at all	None at all	None at all	Not fair at all	A lot	A lot	A lot	Not too much	Not too much	Increasing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
20	Dissatisfied	Disapprove	Only now and then	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	None at all	(VOL) Don't know/Refused	None at all	Not too fair	Not too much	(VOL) Don't know/Refused	Some	Not at all	A lot	Losing influence	(VOL) Don't know/Refused	Neutral toward religion	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
21	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	Only a little	Only a little	Only a little	Not too fair	Some	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
22	Dissatisfied	Disapprove	Most of the time	(VOL) Don't know/Refused	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Not fair at all	A lot	A lot	A lot	(VOL) Don't know/Refused	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A little
23	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #1	Oppose	Never fair game	Some	Only a little	Some	Moderately fair	Not too much	(VOL) Don't know/Refused	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
24	Dissatisfied	(VOL) Don't know/Refused	Some of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Oppose	Sometimes fair game [OR IS IT]	A lot	A lot	A lot	Moderately fair	A lot	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Approve	Somewhat well	Nothing at all
25	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Favor	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Moderately fair	Some	Some	Not at all	Some	Not at all	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	(VOL) Don't know/Refused
26	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	(VOL) Neither/Both equally	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	Some	A lot	Moderately fair	(VOL) Don't know/Refused	Some	Some	(VOL) Don't know/Refused	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
27	Dissatisfied	Disapprove	Most of the time	Basically content	(VOL) Don't know/Refused	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	A lot	A lot	A lot	Not at all	A lot	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
28	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #1	Oppose	Sometimes fair game [OR IS IT]	Only a little	A lot	Only a little	Moderately fair	Some	Some	Some	Some	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A little
29	Satisfied	Disapprove	Some of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Favor	Never fair game	Some	Some	Some	Moderately fair	Not too much	Not at all	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
30	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not at all	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
31	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Never fair game	Only a little	Only a little	Some	Not too fair	A lot	Some	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A little
32	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Some	Moderately fair	Not too much	Not too much	Not too much	Some	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A little
33	Dissatisfied	(VOL) Don't know/Refused	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Never fair game	A lot	Only a little	Only a little	Moderately fair	A lot	A lot	A lot	Some	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
34	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Never fair game	Some	A lot	None at all	Moderately fair	A lot	Not too much	A lot	A lot	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A lot
35	Satisfied	Approve	Some of the time	Frustrated	Just about always	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #2	Statement #2	Favor	Sometimes fair game [OR IS IT]	Some	Some	Only a little	Moderately fair	Not too much	A lot	Not too much	Not at all	Some	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not at all well	Nothing at all
36	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Only now and then	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	Some	A lot	Only a little	Not too fair	Some	A lot	A lot	Some	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	(VOL) Don't know/Refused
37	Satisfied	(VOL) Don't know/Refused	Some of the time	Basically content	Most of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not too fair	Not at all	Some	A lot	Not too much	A lot	Increasing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Somewhat well	A lot
38	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	Some	Only a little	A lot	Moderately fair	Not at all	A lot	Not at all	Not too much	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
39	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Some	Moderately fair	Not too much	Some	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
40	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Strongly oppose	Never fair game	Only a little	Only a little	Some	Moderately fair	Some	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
41	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	None at all	Not too fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
42	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	A lot	Only a little	Only a little	Not too fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Unfriendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A lot
43	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not too fair	Not at all	Not at all	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	(VOL) Don't know/Refused	A lot
44	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Not too fair	A lot	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
45	(VOL) Don't know/Refused	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	(VOL) Don't know/Refused	Not at all	Not at all	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not at all well	A lot
46	Dissatisfied	Approve	Most of the time	(VOL) Don't know/Refused	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #1	Oppose	Never fair game	Only a little	Only a little	Only a little	Not fair at all	Not too much	A lot	Some	A lot	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
47	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	Some	Only a little	Some	Moderately fair	Some	A lot	Some	Some	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
48	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	Not at all	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
49	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	Some	Some	Some	Moderately fair	Some	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
50	Satisfied	Approve	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	(VOL) Neither/Both equally	Statement #2	(VOL) Don't know/Refused	Strongly oppose	Never fair game	Only a little	Only a little	Some	Very fair	Not at all	A lot	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A little
51	Dissatisfied	Disapprove	Only now and then	Angry	(VOL) Never	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	A lot	Some	Only a little	Not too fair	Not too much	Some	A lot	Some	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not at all well	A lot
52	Dissatisfied	Approve	Hardly at all	(VOL) Don't know/Refused	(VOL) Never	No, not keeping promises	(VOL) Neither/Both equally	(VOL) Don't know/Refused	(VOL) Neither/Both equally	(VOL) Neither/Both equally	Statement #1	(VOL) Don't know/Refused	Never fair game	Some	Some	A lot	Not fair at all	Not at all	(VOL) Don't know/Refused	Not at all	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	(VOL) Don't know/Refused	Nothing at all
53	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Some	A lot	A lot	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
54	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	Some	Some	Only a little	Not too fair	A lot	Not too much	Some	Not at all	Some	Increasing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
55	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Some	Moderately fair	Not at all	Not too much	A lot	Not too much	Some	Losing influence	(VOL) Don't know/Refused	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Somewhat well	A lot
56	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Only a little	Moderately fair	Not too much	A lot	Not too much	Not at all	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
57	Dissatisfied	Disapprove	Some of the time	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	None at all	Not too fair	Not too much	Some	A lot	Not at all	A lot	(VOL) Don't know/Refused	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
58	Satisfied	Approve	Most of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	(VOL) Neither/Both equally	Oppose	Sometimes fair game [OR IS IT]	Only a little	Some	Only a little	Not fair at all	Not too much	A lot	Not too much	Not too much	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
59	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Oppose	Never fair game	Only a little	Only a little	Only a little	Moderately fair	Some	A lot	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
60	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	(VOL) Don't know/Refused	Some	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Not at all	A lot	Not at all	A lot	Increasing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Somewhat well	Nothing at all
61	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #2	Oppose	Never fair game	A lot	A lot	None at all	Moderately fair	Not too much	Some	A lot	Not too much	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not at all well	A lot
62	(VOL) Don't know/Refused	Disapprove	Some of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	None at all	Moderately fair	Not at all	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
63	Satisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not too much	Some	Some	Some	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
64	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	A lot	Some	A lot	Very fair	Not at all	Not at all	Some	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
65	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	None at all	Not fair at all	(VOL) Don't know/Refused	A lot	A lot	Not too much	A lot	Losing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A lot
66	Satisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Never fair game	None at all	None at all	None at all	Moderately fair	A lot	A lot	A lot	A lot	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
67	Satisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Strongly favor	Never fair game	Some	A lot	Some	Not fair at all	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
68	Satisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Statement #2	Favor	Sometimes fair game [OR IS IT]	Only a little	None at all	Some	Moderately fair	Some	Some	Some	Some	Some	(VOL) Don't know/Refused	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not at all well	Nothing at all
69	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Some	A lot	Some	Not at all	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
